City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Half Moon Bay,US,78.42,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
596,Morwa,IN,78.84,clear sky,22.9,73.8333,mahakali maa hotel
597,Grenville,GD,82.45,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
598,Harindanga,IN,79.27,overcast clouds,22.0383,88.3214,Hasanur Builders
599,Riohacha,CO,84.31,few clouds,11.5444,-72.9072,Hotel Taroa
601,Pundaguitan,PH,80.69,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
602,Pacifica,US,77.23,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
603,Mahajanga,MG,76.48,broken clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
604,Chicama,PE,76.93,broken clouds,-7.8447,-79.1469,Balihai Bungalows
605,Pascagoula,US,77.41,few clouds,30.3658,-88.5561,Regency Inn
610,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
616,Yanam,IN,76.32,clear sky,16.7333,82.2167,The Regency Hotel
619,Lorengau,PG,78.53,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
636,Manohar Thana,IN,82.54,clear sky,24.24,76.8018,GEETA SADAN
638,Mogadishu,SO,81.36,clear sky,2.0371,45.3438,Hotel Juba
649,Sao Gabriel Da Cachoeira,BR,84.43,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
653,Sao Jose Da Coroa Grande,BR,79.18,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
654,Bilma,NE,80.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
660,Sindhnur,IN,81.36,broken clouds,15.7833,76.7667,BANGLI AUTOMOBILE
662,Carrollton,US,77.11,clear sky,32.9537,-96.8903,Lone Star Inn
666,Jati,PK,79.09,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
669,Ewa Beach,US,79.99,scattered clouds,21.3156,-158.0072,Base Lodging
670,Pasni,PK,79.81,clear sky,25.2631,63.471,Kashmiri Hotal
671,Miri,MY,75.2,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
678,Anloga,GH,82.98,light rain,5.7947,0.8973,Pin Drop Hotel
680,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
682,Ailigandi,PA,78.28,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
685,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
687,Pitimbu,BR,80.65,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
690,Pedernales,DO,83.28,scattered clouds,18.0384,-71.744,Hotel Costa Marina
695,Quixeramobim,BR,75.72,broken clouds,-5.1992,-39.2928,"Pousada, Restaurante e Pizzaria Emídio"
696,San Policarpo,PH,80.51,overcast clouds,12.1791,125.5072,Agapita M. Nicart
697,Markapur,IN,78.73,clear sky,15.7333,79.2833,VIHARI GRAND INN
700,Lethem,GY,89.51,overcast clouds,3.3803,-59.7968,Savannah Inn
712,Kanker,IN,79.0,few clouds,20.2719,81.4931,STARiHOTEL Kanker
713,San Angelo,US,82.89,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
714,Luanda,AO,78.8,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
715,Harper,LR,80.71,overcast clouds,4.375,-7.7169,Screensaver
